	pixel_count	i	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	8	0.0	0.0	[ 0.42705788]	[ 5.03889258]	8	0.0	0.0
1	1	10	0.0	0.0	[ 0.30125481]	[ 1.35255234]	10	0.0	0.0
2	1	21	0.0	0.0	[ 0.25886559]	[ 2.13389521]	21	0.0	0.0
3	1	18	0.0	0.0	[ 0.22924448]	[ 2.43055096]	18	0.0	0.0
4	1	11	0.0	0.0	[ 0.37510623]	[ 5.03969624]	11	0.0	0.0
5	1	11	0.0	0.0	[ 0.25990703]	[ 2.36203464]	11	0.0	0.0
6	1	14	0.0	0.0	[ 0.37381165]	[ 3.4636366]	14	0.0	0.0
7	1	1	0.0	0.0	[ 0.24811947]	[ 3.67383223]	1	0.0	0.0
8	1	13	0.0	0.0	[ 0.27632528]	[ 4.06628761]	13	0.0	0.0
9	1	11	0.0	0.0	[ 0.33789879]	[ 4.53720168]	11	0.0	0.0
10	1	4	0.0	0.0	[ 0.34066062]	[ 3.80351819]	4	0.0	0.0
11	1	21	0.0	0.0	[ 0.29541309]	[ 2.83650308]	21	0.0	0.0
12	1	3	0.0	0.0	[ 0.20497079]	[ 1.78600194]	3	0.0	0.0
13	1	0	0.0	0.0	[ 0.31217628]	[ 3.34200014]	0	0.0	0.0
14	1	8	0.0	0.0	[ 0.41839097]	[ 3.82705884]	8	0.0	0.0
15	1	14	0.0	0.0	[ 0.3627301]	[ 1.79538701]	14	0.0	0.0
16	1	1	0.0	0.0	[ 0.40666656]	[ 2.43501666]	1	0.0	0.0
17	1	8	0.0	0.0	[ 0.30316491]	[ 1.90523807]	8	0.0	0.0
18	1	19	0.0	0.0	[ 0.35946445]	[ 3.38728191]	19	0.0	0.0
19	1	1	0.0	0.0	[ 0.27948458]	[ 0.80910481]	1	0.0	0.0
20	1	19	0.0	0.0	[ 0.41182754]	[ 2.76613051]	19	0.0	0.0
21	1	8	0.0	0.0	[ 0.262539]	[ 3.52342514]	8	0.0	0.0
22	1	12	0.0	0.0	[ 0.24018702]	[ 2.63325951]	12	0.0	0.0
23	1	18	0.0	0.0	[ 0.30058551]	[ 1.38993623]	18	0.0	0.0
24	1	9	0.0	0.0	[ 0.50117767]	[ 5.10090374]	9	0.0	0.0
25	1	15	0.0	0.0	[ 0.20530786]	[ 2.71341627]	15	0.0	0.0
26	1	20	0.0	0.0	[ 0.20573316]	[ 1.54255988]	20	0.0	0.0
27	1	7	0.0	0.0	[ 0.43459408]	[ 5.17517473]	7	0.0	0.0
28	1	13	0.0	0.0	[ 0.20838482]	[ 3.74906018]	13	0.0	0.0
29	1	0	0.0	0.0	[ 0.2077282]	[ 1.98535392]	0	0.0	0.0
30	1	0	0.0	0.0	[ 0.26945252]	[ 1.80109664]	0	0.0	0.0
31	1	15	0.0	0.0	[ 0.23014651]	[ 2.42703349]	15	0.0	0.0
32	1	19	0.0	0.0	[ 0.31763652]	[ 3.87285018]	19	0.0	0.0
33	1	6	0.0	0.0	[ 0.23158447]	[ 2.03949444]	6	0.0	0.0
34	1	3	0.0	0.0	[ 0.25790761]	[ 3.37589329]	3	0.0	0.0
35	1	10	0.0	0.0	[ 0.42250153]	[ 1.48330203]	10	0.0	0.0
36	1	17	0.0	0.0	[ 0.21975414]	[ 1.93283028]	17	0.0	0.0
37	1	3	0.0	0.0	[ 0.28672507]	[ 5.42145288]	3	0.0	0.0
38	1	16	0.0	0.0	[ 0.26864365]	[ 2.64838358]	16	0.0	0.0
39	1	10	0.0	0.0	[ 0.2989735]	[ 0.97896016]	10	0.0	0.0
40	1	12	0.0	0.0	[ 0.35916989]	[ 6.01098679]	12	0.0	0.0
41	1	7	0.0	0.0	[ 0.26173126]	[ 3.68900388]	7	0.0	0.0
42	1	0	0.0	0.0	[ 0.32049203]	[ 2.87311627]	0	0.0	0.0
43	1	10	0.0	0.0	[ 0.28222653]	[ 1.89519236]	10	0.0	0.0
44	1	21	0.0	0.0	[ 0.29673799]	[ 1.29725229]	21	0.0	0.0
45	1	1	0.0	0.0	[ 0.24592409]	[ 3.66549918]	1	0.0	0.0
46	1	16	0.0	0.0	[ 0.24181205]	[ 1.45177531]	16	0.0	0.0
47	1	0	0.0	0.0	[ 0.16147903]	[ 2.34231488]	0	0.0	0.0
48	1	6	0.0	0.0	[ 0.46093436]	[ 5.31785919]	6	0.0	0.0
49	1	5	0.0	0.0	[ 0.40242799]	[ 3.81460483]	5	0.0	0.0
