	pixel_count	i	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	18	0.0	0.0	[ 0.0060121]	[ 3.89284042]	18	0.0	0.0
1	1	13	0.0	0.0	[ 0.00244261]	[ 2.66359556]	13	0.0	0.0
2	1	21	0.0	0.0	[ 0.00393305]	[ 2.79523156]	21	0.0	0.0
3	1	2	0.0	0.0	[ 0.00218506]	[ 2.39020773]	2	0.0	0.0
4	1	16	0.0	0.0	[ 0.00320725]	[ 2.79069254]	16	0.0	0.0
5	1	4	0.0	0.0	[ 0.00363381]	[ 3.96478539]	4	0.0	0.0
6	1	10	0.0	0.0	[ 0.00360432]	[ 1.59625725]	10	0.0	0.0
7	1	19	0.0	0.0	[ 0.00338326]	[ 3.73207504]	19	0.0	0.0
8	1	5	0.0	0.0	[ 0.00252772]	[ 3.35894496]	5	0.0	0.0
9	1	2	0.0	0.0	[ 0.00287183]	[ 3.29229931]	2	0.0	0.0
