	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang		meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	FALSE	2	0.01455279	1.62E-08	-5.719366612	5.719366612	0.03291435	0.29755412	2	-0.009999935	-0.249998364
1	1	FALSE	1	0.01325271	4.18E-09	-7.009032201	7.009032201	0.04061322	0.47228006	1	-0.009999735	-0.199939698
2	1	FALSE	1	0.01339991	4.34E-09	6.970396312	6.970396312	0.02927083	0.55318859	1	0.009999998	0.19994497
3	1	FALSE	2	0.01426281	1.60E-08	-5.548024953	5.548024953	0.02303092	0.36045678	2	-0.009999946	-0.249998658
4	1	FALSE	1	0.01308464	3.92E-09	-6.985403061	6.985403061	0.04006108	0.66328976	1	-0.009999902	-0.199943044
5	1	FALSE	2	0.01435446	1.59E-08	5.624895992	5.624895992	0.03817602	0.48765847	2	0.009999793	0.249994827
6	1	FALSE	2	0.0150972	1.69E-08	5.924213813	5.924213813	0.04379545	0.737896	2	0.009997629	0.249940729
7	1	FALSE	1	0.01341789	4.33E-09	7.030259834	7.030259834	0.03019548	0.43232224	1	0.009999301	0.199931022
8	1	FALSE	2	0.01506556	1.68E-08	-5.983504281	5.983504281	0.03758948	0.34824661	2	-0.009999855	-0.249996366
9	1	FALSE	1	0.01312924	4.02E-09	6.940793086	6.940793086	0.02965464	0.35096796	1	0.009999966	0.199944316
10	1	FALSE	2	0.01556738	1.79E-08	-6.141252112	6.141252112	0.0464531	0.73465845	2	-0.009999532	-0.24998831
11	1	FALSE	2	0.0136027	1.34E-08	-5.532558318	5.532558318	0.02842738	0.57349994	2	-0.009999593	-0.249989822
12	1	FALSE	1	0.01351127	4.58E-09	-6.993333095	6.993333095	0.02550652	0.33549421	1	-0.009999832	-0.199941638
13	1	FALSE	2	0.01548761	1.76E-08	-6.138467317	6.138467317	0.04529972	0.59037218	2	-0.009999911	-0.249997771
14	1	FALSE	2	0.01381517	1.42E-08	-5.557758832	5.557758832	0.03989311	0.3564939	2	-0.009999638	-0.24999096
15	1	FALSE	2	0.01517336	1.72E-08	-5.969853887	5.969853887	0.05212767	0.8040405	2	-0.009998962	-0.249974058
16	1	FALSE	2	0.01500546	1.74E-08	5.810097209	5.810097209	0.031075	0.32934248	2	0.009999891	0.249997276
