	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	[False]	2	[ 0.01458048]	1.626997117532021e-08	-5.734444305870702	[ 0.02755062]	[ 0.25905757]	2	-0.009999485053515073	-0.24998712633787684
1	1	[False]	1	[ 0.01323818]	4.168665020731797e-09	-7.000174274472886	[ 0.0256652]	[ 0.33501098]	1	-0.009999954012084235	-0.19994408049461818
2	1	[False]	1	[ 0.01340767]	4.3540460332623745e-09	-6.9720487945319025	[ 0.05256672]	[ 0.57100945]	1	-0.009999987359385348	-0.1999447472572303
3	1	[False]	2	[ 0.01425907]	1.6008878024008764e-08	5.546739675386122	[ 0.03016851]	[ 0.39704481]	2	0.009999702031144543	0.24999255077861357
4	1	[False]	1	[ 0.01305822]	3.903976847011596e-09	-6.9718637612684216	[ 0.0371484]	[ 0.53287755]	1	-0.009999821315689758	-0.1999414272965588
5	1	[False]	2	[ 0.01432636]	1.587757843471661e-08	-5.6145961716818125	[ 0.04614402]	[ 0.46841317]	2	-0.009999888154137883	-0.2499972038534471
6	1	[False]	2	[ 0.0150884]	1.6857887510239143e-08	5.922989501262524	[ 0.06269727]	[ 0.82358843]	2	0.009999612612437958	0.24999031531094895
7	1	[False]	1	[ 0.01343029]	4.346196149211839e-09	-7.031327762565745	[ 0.02330743]	[ 0.39638241]	1	-0.009999878591981808	-0.1999425725073802
8	1	[False]	2	[ 0.01508097]	1.684324268119253e-08	-5.983251451987406	[ 0.03154263]	[ 0.38721098]	2	-0.009999779322395206	-0.24999448305988015
9	1	[False]	1	[ 0.01312065]	4.0180613370163064e-09	6.936458464916248	[ 0.02328308]	[ 0.29433241]	1	0.009999337154599306	0.19993174673763578
10	1	[False]	2	[ 0.01557286]	1.7862012950780582e-08	6.146151171954382	[ 0.04171313]	[ 0.74852687]	2	0.009999567250982	0.24998918127455
11	1	[False]	2	[ 0.01362804]	1.3430162011740013e-08	-5.54291738098579	[ 0.04412]	[ 0.56930765]	2	-0.009999203818232525	-0.24998009545581312
12	1	[False]	1	[ 0.01348932]	4.5627865188689235e-09	-6.982554786464123	[ 0.04361882]	[ 0.43404175]	1	-0.009999782512521585	-0.19994065144661277
13	1	[False]	2	[ 0.01551493]	1.7582388696415388e-08	-6.156182242924765	[ 0.04861663]	[ 0.7153932]	2	-0.009999630724766801	-0.24999076811917004
14	1	[False]	2	[ 0.01381322]	1.4193010570554832e-08	-5.556584644750686	[ 0.0221534]	[ 0.21953476]	2	-0.00999989346500196	-0.249997336625049
15	1	[False]	2	[ 0.01518285]	1.7209285026551545e-08	5.975943970506171	[ 0.05848491]	[ 0.74322197]	2	0.009999794710957036	0.24999486777392588
16	1	[False]	2	[ 0.01501966]	1.7393914004565364e-08	-5.821224635833006	[ 0.07725342]	[ 0.50022205]	2	-0.009998877677549978	-0.24997194193874944
