NN State Estimator Setting and Performance,,,,,,
Test System,# of measurements,# of states,Learning Rate,Activation Function,# layers,# neurons
IEEE 9-bus,6,18,0.01,sigmoid,1,12
IEEE 14-bus,28,28,0.01,sigmoid,2,40
IEEE 30-bus,48,60,0.01,sigmoid,3,60
,,,,,,
,,,,,,
Timing Results in ,,,,,,
Test System,# meters to compromise,Execution Time (s),,,,
IEEE 9-bus,1,0.56,,,,
IEEE 14-bus,,,,,,
IEEE 30-bus,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Test System,delta (W/Var),Sum Absolute Error in Voltage Angle (degree),,,,
IEEE 9-bus,0.14,3.64,,,,
IEEE 14-bus,,,,,,
IEEE 30-bus,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Parameters and Layer Type,IEEE 9-bus,IEEE 14-bus,IEEE 30-bus,,,
Input Size,6,22,48,,,
Fully Connected + sigmoid,16,32,,,,
Fully Connected + sigmoid,32,64,,,,
Output Size,18,28,60,,,
Learning Rate,1.73E-05,1.32E-04,,,,
batch size,50,100,100,,,
num of epochs,50,50,,,,
