	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection	estimated - real
0	1	True	2	[ 0.01457134]	[ 0.00024527]	5.724859585272902	[ 0.01988941]	[ 0.62748234]	2	-0.009999638136510608	-0.2499909534127652	[[ 0.13868769  0.02126015  1.37300795  0.12342927  0.06883116  1.39784549]]
1	1	True	1	[ 0.01324375]	[ 0.00012319]	7.006421715236004	[ 0.04012239]	[ 0.88732035]	1	-0.009999690635268453	-0.19993881440687503	[[ 0.01111897  0.0060081   0.0074998   0.03111984  0.0141861   0.01563024]]
2	1	True	1	[ 0.01341551]	[ 0.0001179]	6.9740834631752335	[ 0.03919575]	[ 1.15993124]	1	-0.009999892909351256	-0.19994285877602364	[[ 0.34605105  0.85240302  0.93636369  0.30431736  0.82032005  0.91548618]]
3	1	True	2	[ 0.0142695]	[ 0.00024102]	5.549988460969432	[ 0.03843525]	[ 0.89329174]	2	-0.009999160688895567	-0.2499790172223892	[[ 0.51039756  0.89535183  1.53287315  0.48796572  0.93123089  1.55117824]]
4	1	True	1	[ 0.01305432]	[ 0.0001199]	6.971803481433874	[ 0.02542567]	[ 0.84913833]	1	-0.009999915803616243	-0.19994331653540492	[[ 0.40000545  0.2672864   0.0726328   0.41849579  0.29236296  0.10626549]]
5	1	True	2	[ 0.01435073]	[ 0.00024091]	5.6216571107929365	[ 0.03202407]	[ 0.6662497]	2	0.009999401679111664	0.24998504197779162	[[ 0.30302957  0.1093877   1.50208844  0.30458172  0.15574148  1.52444879]]
6	1	True	2	[ 0.01510283]	[ 0.00025722]	5.920911326223186	[ 0.04518092]	[ 1.40657412]	2	0.0099995884800777	0.2499897120019425	[[ 0.94141582  0.26837572  1.89625732  0.96802762  0.21976782  1.92251224]]
7	1	True	1	[ 0.01342116]	[ 0.00012261]	7.029248848417947	[ 0.03759912]	[ 0.98131662]	1	0.009998945092854162	0.1999239076590725	[[ 0.26186254  0.51361035  0.69921795  0.30487614  0.49981529  0.67666811]]
8	1	True	2	[ 0.01505945]	[ 0.00025437]	5.974891838803958	[ 0.03404793]	[ 0.98216173]	2	-0.00999993359503726	-0.2499983398759315	[[ 0.66569114  0.5917735   1.10432238  0.64138728  0.55334501  1.12638449]]
9	1	True	1	[ 0.01312209]	[ 0.00011665]	6.937010981157137	[ 0.01994197]	[ 0.52267132]	1	0.00999970652609997	0.19993913213610578	[[ 1.43276592  0.08712469  0.76270681  1.42453251  0.06078522  0.73824903]]
