	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection	estimated - real
0	1	False	2	[ 0.00859864]	[ 0.00014462]	3.2971108486998175	[ 0.0222652]	[ 0.65716023]	2	0.005999147973008038	0.14997869932520094	[[ 0.14045183  0.0343564   1.38510308  0.1393565   0.01649691  1.38222534]]
1	1	False	2	[ 0.00860457]	[ 0.00014197]	3.4097712215729623	[ 0.02949554]	[ 0.93739421]	2	-0.005999968997825734	-0.14999922494564336	[[ 0.37135833  0.82292612  0.94225412  0.36219862  0.80988055  0.93917338]]
2	1	False	2	[ 0.00807336]	[ 0.00013208]	3.210416959714737	[ 0.01154767]	[ 0.36025739]	2	-0.005999904911769071	-0.1499976227942268	[[ 0.00152577  0.010076    0.00311295  0.00182113  0.00275696  0.00320045]]
3	1	False	2	[ 0.00837279]	[ 0.00013916]	3.2506285594063042	[ 0.02701173]	[ 1.00639059]	2	0.00599969063283229	0.14999226582080727	[[ 0.49360293  0.89798042  1.55149489  0.49292487  0.88391001  1.54584255]]
4	1	False	2	[ 0.00868495]	[ 0.00014266]	3.4722700267426703	[ 0.03577962]	[ 1.02610557]	2	-0.005999445893694339	-0.14998614734235846	[[ 0.7778616   1.10867144  1.03097171  0.76844989  1.08640369  1.03428842]]
5	1	False	2	[ 0.00865815]	[ 0.00014654]	3.316213803428707	[ 0.02686982]	[ 0.96533663]	2	0.005999488560274402	0.14998721400686005	[[ 0.312534    0.11951196  1.53398821  0.30958624  0.12166521  1.53167389]]
6	1	False	1	[ 0.00858638]	[  6.93252206e-05]	4.39379357856498	[ 0.04050748]	[ 1.15379303]	1	0.00599974846899808	0.11996197076338208	[[ 1.3355729   1.04441217  1.00654679  1.34990907  1.06446936  0.9893512 ]]
7	1	False	2	[ 0.00831871]	[ 0.00013679]	3.280204481015174	[ 0.02510593]	[ 0.91973007]	2	-0.005999923722484339	-0.14999809306210846	[[ 0.63208804  0.28263103  0.23607176  0.63079895  0.30414472  0.23724475]]
8	1	False	1	[ 0.00876287]	[  7.08540133e-05]	4.440818105489604	[ 0.03150199]	[ 0.96738792]	1	-0.005999830486747524	-0.11996361066727333	[[ 1.00928901  1.40331022  0.18777153  1.0092679   1.40880454  0.18503729]]
9	1	False	1	[ 0.00793623]	[  7.36461836e-05]	4.192734391318848	[ 0.02915622]	[ 0.66755842]	1	0.005999943260009809	0.11996586551226608	[[ 1.44410764  0.0818706   0.76842432  1.45947827  0.05055457  0.76498521]]
10	1	False	1	[ 0.00864214]	[  6.93150920e-05]	4.402253972369466	[ 0.04180923]	[ 1.51766144]	1	0.005999943009460307	0.11996586050265408	[[ 1.43187593  1.18465377  0.66713431  1.43792321  1.1749991   0.65110261]]
11	1	False	1	[ 0.00852757]	[  6.88548869e-05]	4.330576541707772	[ 0.02543164]	[ 0.59108378]	1	-0.005999981360807589	-0.11996662731866731	[[ 0.75664513  1.42431026  0.68091074  0.7622091   1.44129337  0.68384209]]
12	1	False	2	[ 0.00871431]	[ 0.00014601]	3.365913896311317	[ 0.02025824]	[ 0.66421339]	2	-0.005999810501959851	-0.14999526254899628	[[ 0.86464238  0.08513815  0.81036891  0.85486188  0.10341368  0.81015033]]
13	1	False	1	[ 0.00856914]	[  6.99285173e-05]	4.3209462888490435	[ 0.04583999]	[ 1.64619062]	1	0.005999916466963256	0.1199653297986968	[[ 1.50412505  1.49758322  0.287393    1.50490694  1.46203037  0.27659083]]
14	1	False	1	[ 0.00835004]	[  7.26951677e-05]	4.318749001710592	[ 0.02769453]	[ 0.69962957]	1	-0.0059999978387251665	-0.11996695678639031	[[ 1.01162884  0.72825407  0.26475498  1.01680243  0.74600551  0.26659628]]
15	1	False	1	[ 0.00872385]	[  6.96233967e-05]	4.520611901078033	[ 0.0480196]	[ 1.38148146]	1	-0.00599997063964086	-0.11996641295429913	[[ 1.49167234  0.6130276   0.90083294  1.50907654  0.63457467  0.88629872]]
16	1	False	1	[ 0.00878983]	[  7.04060316e-05]	4.493105441435928	[ 0.0420514]	[ 1.46667365]	1	-0.005999974930380627	-0.1199664987454954	[[ 0.14492974  1.28711793  0.82076115  0.15259062  1.28394949  0.8176233 ]]
17	1	False	1	[ 0.00854889]	[  7.03192961e-05]	4.350942950752849	[ 0.02364926]	[ 0.51897936]	1	-0.0059998840634017435	-0.11996468190568613	[[ 1.13756496  1.2852931   0.70525327  1.15516976  1.27904852  0.70079927]]
18	1	False	1	[ 0.00803525]	[  7.31556392e-05]	4.181876974323852	[ 0.01576597]	[ 0.38564569]	1	-0.005999644974592235	-0.11995990144448442	[[ 0.5901459   0.68612901  0.89736107  0.59374202  0.68799035  0.90205378]]
19	1	False	1	[ 0.00807318]	[  7.32284999e-05]	4.195894608635159	[ 0.0180026]	[ 0.43411853]	1	0.005999744131955432	0.11996188404638286	[[ 0.77578036  0.67844798  0.83364475  0.78307758  0.68574475  0.83645329]]
20	1	False	2	[ 0.00858771]	[ 0.00014286]	3.4014339177801816	[ 0.02761224]	[ 1.00107908]	2	0.005999975553249813	0.14999938883124533	[[ 0.56226624  1.14439185  1.59540572  0.55923161  1.13579534  1.58967016]]
21	1	False	2	[ 0.00810661]	[ 0.00013086]	3.294207832239732	[ 0.02110337]	[ 0.70327297]	2	-0.005999944835410731	-0.14999862088526827	[[ 0.17849257  1.06965662  0.31728548  0.18286346  1.0524826   0.31295864]]
22	1	False	1	[ 0.00867713]	[  6.98759049e-05]	4.414566167389585	[ 0.02272112]	[ 0.55715813]	1	0.005999527930331065	0.11995756120300445	[[ 1.17289421  1.25179684  0.36927014  1.18572971  1.2500747   0.36647882]]
23	1	False	1	[ 0.00852526]	[  7.16217229e-05]	4.443154181416327	[ 0.0363675]	[ 1.2332786]	1	-0.005999868515122691	-0.11996437102562062	[[ 0.68535819  0.45042645  0.85033497  0.68362801  0.47915526  0.84843693]]
24	1	False	2	[ 0.00854122]	[ 0.00013995]	3.412648102855784	[ 0.02824411]	[ 0.82907815]	2	-0.005999814154170563	-0.14999535385426407	[[ 0.26741947  0.90907759  0.78334324  0.25783027  0.89158725  0.78023493]]
25	1	False	2	[ 0.00844663]	[ 0.00013908]	3.3320808984411547	[ 0.01852578]	[ 0.64462844]	2	-0.005999920635459238	-0.14999801588648096	[[ 0.17851708  0.77733579  0.96798167  0.17765839  0.75854436  0.96112152]]
26	1	False	2	[ 0.00860374]	[ 0.00014504]	3.299098830915452	[ 0.02282222]	[ 0.73319395]	2	0.005999924269803737	0.14999810674509342	[[ 0.05445807  0.14981648  1.44980391  0.05492139  0.13870069  1.44683371]]
27	1	False	1	[ 0.00860051]	[  7.03468823e-05]	4.380762779736636	[ 0.02276776]	[ 0.56029729]	1	0.00599964020776427	0.11995980613414266	[[ 1.14038441  1.2297138   0.51782911  1.15557787  1.22898932  0.51433961]]
28	1	False	1	[ 0.0087329]	[  6.97897232e-05]	4.528030303369672	[ 0.04904761]	[ 1.28516495]	1	-0.0059999128368836765	-0.11996525721707064	[[ 1.3514688   0.59207599  1.00483514  1.36803147  0.63015961  0.99359841]]
