	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	[False]	2	[ 0.14645627]	1.6443668602147181e-06	-57.50501385607254	[ 0.0793114]	[ 0.90099935]	2	-0.0999959892510513	-2.4998997312762823
1	1	[False]	1	[ 0.13265102]	4.2063079840213044e-07	-70.02676360299299	[ 0.10915364]	[ 0.94759573]	1	-0.09999897211632298	-1.9994294479798194
2	1	[False]	1	[ 0.13392921]	4.355713775049645e-07	-69.5465973212343	[ 0.11860507]	[ 0.84546]	1	-0.09999665400760743	-1.9993830985551064
3	1	[False]	2	[ 0.14329985]	1.6198905461337577e-06	-55.64083934182974	[ 0.08035648]	[ 0.87717931]	2	-0.09999959253812324	-2.499989813453081
4	1	[False]	1	[ 0.13115592]	3.965357255551544e-07	-69.9197445053961	[ 0.08308214]	[ 0.85293995]	1	-0.09999926905146064	-1.9994353850494293
5	1	[False]	2	[ 0.14420091]	1.609568250037448e-06	-56.4326443445258	[ 0.09266355]	[ 1.04877263]	2	-0.09999936413954856	-2.499984103488714
6	1	[False]	2	[ 0.15182954]	1.7094085996008713e-06	59.57986466328255	[ 0.08270675]	[ 1.09916132]	2	0.09999971459836701	2.499992864959175
7	1	[False]	1	[ 0.13418037]	4.3464798580691306e-07	-70.18212634237887	[ 0.09831324]	[ 0.86709194]	1	-0.09999916783020281	-1.9994333611809896
8	1	[False]	2	[ 0.1511021]	1.694181420671431e-06	-59.87517258686055	[ 0.10420218]	[ 1.12720791]	2	-0.09999848883233003	-2.499962220808251
9	1	[False]	1	[ 0.1313033]	4.017887453690519e-07	69.46431752071639	[ 0.05968864]	[ 0.63010936]	1	0.09997981569246571	1.999046424863005
10	1	[False]	2	[ 0.15590991]	1.790353348238514e-06	61.55803123104215	[ 0.08438265]	[ 1.12017171]	2	0.09999726448409457	2.4999316121023645
11	1	[False]	2	[ 0.13664477]	1.3561209370684045e-06	-55.453435941098576	[ 0.08600046]	[ 1.1109556]	2	-0.09999909546633776	-2.499977386658444
12	1	[False]	1	[ 0.13514075]	4.570002234526862e-07	70.03487546424479	[ 0.07343665]	[ 0.55783609]	1	0.09999827793115329	1.9994155680944439
13	1	[False]	2	[ 0.15521289]	1.766859887703301e-06	-61.42373815154528	[ 0.09595554]	[ 0.94370128]	2	-0.09999472502539078	-2.4998681256347695
14	1	[False]	2	[ 0.13872357]	1.4315954700464418e-06	-55.7959576799156	[ 0.09763528]	[ 1.03412551]	2	-0.09999892918313015	-2.499973229578254
15	1	[False]	2	[ 0.15215714]	1.7293975433699499e-06	59.878986700567516	[ 0.07504407]	[ 0.97917128]	2	0.09999562634652677	2.499890658663169
16	1	[False]	2	[ 0.15026936]	1.7477866357119906e-06	-58.06719550265424	[ 0.09885853]	[ 0.9535231]	2	-0.09999982713506944	-2.499995678376736
17	1	[False]	2	[ 0.13824631]	1.3703211599400958e-06	-56.3667426180891	[ 0.09734576]	[ 1.02472325]	2	-0.0999950538086499	-2.4998763452162476
18	1	[False]	1	[ 0.13331263]	4.2598533286131035e-07	69.61516614210585	[ 0.07886472]	[ 0.88666141]	1	0.09999807945072606	1.9994115995775417
19	1	[False]	1	[ 0.13326369]	4.2957919259718564e-07	-69.3205093595006	[ 0.1125252]	[ 0.79276591]	1	-0.09999827469120347	-1.9994155033132672
20	1	[False]	2	[ 0.13794732]	1.4900602098879475e-06	-54.305196782798056	[ 0.08106864]	[ 0.96091167]	2	-0.09999793313999425	-2.499948328499856
